Transaction ID,Customer ID,Amount,Date,Status,Branch ID,Branch Name,City,Payment Mode,Merchant Name,Product Category
be76762f60e77abac577283ba964fe56,a3203750760b909743355d6ec111cad4,334.65,2023-10-20,Failed,MG 978,MG Road,Bangalore,Net Banking,Merchant_11,Health
979c771473780c7ace51659420c21e3c,aabbd69ca96f9b145c39bd458933649c,491.02,2023-12-28,Failed,MG 598,MG Road,Bangalore,Credit,Merchant_23,Clothing
b62165bcaaa57cb8ff13977895b90538,5cc163b9b1532a2e2a8cefdc223abeb3,419.7,2023-01-02,Successful,MG 123,MG Road,Bangalore,Debit,Merchant_54,Clothing
de42060287bde87da3b66383d21cee5f,03aaca09037e047f7088c422220e0903,253.28,2023-08-19,Successful,MG 196,MG Road,Bangalore,Credit,Merchant_25,Electronics
8b6c9e827b68726447866097ae6f3a08,4e1e0313fd49632f284c9e0e68f70f73,689.22,2023-12-14,Successful,MG 157,MG Road,Bangalore,Credit,Merchant_73,Clothing
f47665a202d076ad5211a3131f034983,3d2ee2a88f2ded6e6650859771c8a7f2,804.24,2023-10-11,Successful,MG 467,MG Road,Bangalore,Debit,Merchant_68,Clothing
3bf272ac836a56d858513400c06c9e95,699cbaa44a0dae74f4cf5238a804464e,452.2,2023-03-01,Failed,MG 766,MG Road,Bangalore,Net Banking,Merchant_42,Health
d055674103b8445077763fb5ff77915f,211c50850ba13da180d526895c8dc95f,909.97,2023-03-18,Successful,MG 500,MG Road,Bangalore,UPI,Merchant_40,Electronics
315ebc631dadc241d433c3a8558d2432,2f846c79c43492ae66a1ee26f0afbc2e,496.83,2023-02-14,Successful,MG 563,MG Road,Bangalore,Debit,Merchant_48,Electronics
c65940e5bdca51c94967c736a0475855,78683ad1b19f0369633060e77a888772,713.48,2023-07-25,Failed,MG 443,MG Road,Bangalore,UPI,Merchant_20,Health
5d689d7b40ae673ca74f5d2add9059ad,7c90f6e41d1c34a829cf01ef6cf4f493,621.56,2023-08-05,Successful,MG 833,MG Road,Bangalore,Net Banking,Merchant_80,Groceries
7b68442dd0051d4df78a99e434fb1dea,c443fd01b8fbc024da1cfabffd793ba1,378.73,2023-01-21,Successful,MG 345,MG Road,Bangalore,Net Banking,Merchant_84,Clothing
2f93cd7f2391403485144c7d5a3e2154,2a1b75b51e36e59554b4e91004c28ae7,756.16,2023-03-04,Failed,MG 212,MG Road,Bangalore,Credit,Merchant_12,Health
232a130699195717b57e55485d0e6861,7f7debc02182bc18e9422104319b6297,278.78,2023-10-18,Successful,MG 633,MG Road,Bangalore,Net Banking,Merchant_46,Clothing
0dc4d945b61d8c4e682d437dbdcc1156,48b33c1184f22bf362c3252a6aaf51e8,477.56,2023-12-27,Failed,MG 702,MG Road,Bangalore,Debit,Merchant_48,Clothing
3c6c17b247df86b8f10f6338a2ac4631,975a293b1e4f78bbbf62beee8cbf1782,896.23,2023-08-22,Successful,MG 626,MG Road,Bangalore,UPI,Merchant_72,Health
80fc21ba58f9323e80e1edeef79937e1,cd85f2ed43d9524bced7e734fe2a3ef0,550.18,2023-05-20,Successful,MG 708,MG Road,Bangalore,Credit,Merchant_28,Groceries
ba985d5e0089c7790e04dc99d02d5252,6042e6fc500f2450bda6a332f0a19b79,372.59,2023-03-07,Failed,MG 704,MG Road,Bangalore,UPI,Merchant_27,Electronics
eeafcdb2d5a0700876392e2da5f8fac5,45746527be2efff10fb59a29b9036728,778.82,2023-10-09,Failed,MG 606,MG Road,Bangalore,Net Banking,Merchant_79,Clothing
764ab5d099d308c22a2b1ae50fda1d25,c282abc5c575f557a29eed1b75c8a354,231.58,2023-10-05,Successful,MG 738,MG Road,Bangalore,Credit,Merchant_78,Groceries
